1-1_1	Hi there! Can you tell me some food good for acid reflux?
9-1_8	Interesting, I will probably consider buying a new grip. By the way, I am not sure about the material of my bike, how to know exactly? And where are we now about budget for a gel cushion seat and a handlebar grip?
9-1_9	I have been thinking about upgrading my plastic pedals too, on a mountains bike.
9-1_10	That sounds good, what are the key things to look for on mountains bike pedal?
9-1_11	Are clipless pedals worth considering on a mountains bike?
9-2_1	Hi, my bike chain keeps going out, what is the issue?
9-2_2	I rather fix it myself, I have some tools, and some time. What could be the reason for my chain to drop off?
9-2_3	I just checked, the derailleur seems to be fine, it is well aligned with each gear, and it doesn't go too far on the right or on the left after shifting the speed. Maybe my chain is dropping off because of a problem of the chain itself?
9-2_4	I have problem with the chain of my bike, it could be chain wear or an issue with the chain length. I bought this bike one month ago, the chain was changed when I bought it, and the gear doesn't look damaged.
9-2_5	Wait, what is the jockey within a bike?
9-2_6	I tried to go on the largest gears of my bike, and I see that the chain seems a bit loose. How to know the perfect length of a chain for a bike?
9-2_7	I'm not good with math. Is there not an easier way to know the perfect chain length on a bike, other than using a formula?
9-2_8	That's much better, thanks, yes I have a chain breaker, but you can remind me how to use it, and also how to open my bike chain?
9-2_9	Thanks, great I manage to change my bike chain, it worked. What should I use to lubricate my chain now? Can I use car oil?
9-2_10	How to know when to add grease on bike chain?
